Barcode,Cluster
723013_1,Progenitors_1
545690_1,Neurons_1_2
32532_1,Cnidocytes_1
590598_1,Immune_cells_1
697289_1,Cnidocytes_1
532922_1,Neurons_1_2
562161_1,Immune_cells_1
674648_1,Neurons_2
716298_1,Cnidocytes_3
686152_1,Cnidocytes_1
81805_1,Neurons_1_3
233747_1,Alga_hosting_cells_2
625816_1,Cnidocytes_1
606030_1,Neurons_2
573462_1,Neurons_1_3
835608_1,Immune_cells_1
332335_1,Neurons_1_2
824438_1,Progenitors_1
613602_1,Alga_hosting_cells_1
621475_1,Cnidocytes_1
761465_1,Immune_cells_1
158014_1,Neurons_2
204872_1,Cnidocytes_3
690944_1,Cnidocytes_1
52943_1,Neurons_1_2
515422_1,Neurons_2
743347_1,D.filaments_Alga_hosting_cells
697309_1,Progenitors_2
534734_1,Neurons_1_2
680431_1,Digestive_filaments
362903_1,Digestive_filaments
545900_1,Neurons_1_2
371247_1,Immune_cells_1
617961_1,Progenitors_1
685076_1,Neurons_1_1
228811_1,Immune_cells_1
398111_1,Gastrodermis_2
93245_1,Neurons_2
758839_1,Neurons_2
221691_1,Immune_cells_1
359572_1,Digestive_filaments
51010_1,Cnidocytes_2
305040_1,Neurons_1_2
332014_1,Cnidocytes_3
738725_1,Neurons_2
494012_1,Immune_cells_1
92074_1,Cnidocytes_2
429331_1,Neurons_2
668166_1,Cnidocytes_1
422490_1,Cnidocytes_2
857276_1,Digestive_filaments
640700_1,Cnidocytes_1
608459_1,Immune_cells_1
21487_1,Cnidocytes_1
835335_1,Immune_cells_1
825550_1,Progenitors_1
329311_1,Immune_cells_1
110725_1,Immune_cells_1
222275_1,Digestive_filaments
97281_1,Cnidocytes_1
195260_1,Cnidocytes_1
233765_1,Cnidocytes_1
662691_1,Immune_cells_1
105117_1,Gland_cells
864536_1,Immune_cells_1
311746_1,Immune_cells_2
493712_1,Cnidocytes_1
445670_1,Neurons_1_3
207480_1,Alga_hosting_cells_2
368676_1,Gastrodermis_2
89270_1,Cnidocytes_1
789596_1,Gastrodermis_2
628866_1,Neurons_1_3
89011_1,Neurons_1_2
605132_1,Neurons_1_2
174509_1,Neurons_1_2
787708_1,Neurons_1_2
169394_1,Immune_cells_1
724401_1,Progenitors_2
556053_1,Cnidocytes_2
544335_1,Immune_cells_1
561584_1,Cnidocytes_3
13205_1,Neurons_1_2
791217_1,Cnidocytes_1
743452_1,Immune_cells_2
633005_1,Immune_cells_1
453030_1,Neurons_1_2
78074_1,Neurons_1_2
235774_1,Progenitors_1
302501_1,Neurons_2
58036_1,Progenitors_1
400912_1,Progenitors_2
381274_1,Immune_cells_1
813058_1,Neurons_1_3
744437_1,Neurons_1_3
296509_1,Digestive_filaments
154505_1,Neurons_1_1
445652_1,Progenitors_2
392196_1,Immune_cells_1
425255_1,Immune_cells_1
758155_1,Immune_cells_1
522470_1,Alga_hosting_cells_1
276508_1,Progenitors_2
718618_1,Cnidocytes_2
325621_1,Neurons_1_2
636187_1,Immune_cells_2
284357_1,Neurons_1_2
521947_1,Immune_cells_1
98665_1,Cnidocytes_1
42732_1,Neurons_1_3
788085_1,Immune_cells_1
7957_1,Cnidocytes_3
453252_1,Neurons_2
847601_1,Gastrodermis_2
704047_1,Neurons_2
645458_1,Neurons_1_2
139185_1,Cnidocytes_1
520021_1,Neurons_1_3
722677_1,Cnidocytes_2
96324_1,Gastrodermis_2
434813_1,Progenitors_2
263138_1,Cnidocytes_3
723771_1,Progenitors_1
134009_1,Immune_cells_1
342527_1,Cnidocytes_1
728886_1,Neurons_2
809450_1,Neurons_2
697652_1,Cnidocytes_1
449900_1,Progenitors_2
883915_1,Progenitors_2
96116_1,Immune_cells_1
582763_1,Neurons_1_2
632841_1,Digestive_filaments
424270_1,Neurons_2
678734_1,Gastrodermis_2
584178_1,Cnidocytes_2
481757_1,Neurons_2
253387_1,Neurons_1_2
511697_1,Digestive_filaments
832855_1,Cnidocytes_1
172668_1,Neurons_2
250474_1,D.filaments_Alga_hosting_cells
173605_1,Neurons_2
501899_1,Cnidocytes_2
622193_1,Neurons_1_3
749003_1,Neurons_1_2
661330_1,Gastrodermis_2
786782_1,Cnidocytes_1
831366_1,Immune_cells_1
89965_1,Progenitors_2
183215_1,Cnidocytes_2
283812_1,Immune_cells_1
690312_1,Alga_hosting_cells_1
307195_1,Neurons_2
328450_1,Cnidocytes_1
272746_1,Neurons_2
770224_1,Neurons_2
584542_1,Neurons_1_2
314874_1,Cnidocytes_3
149378_1,Immune_cells_1
186996_1,Progenitors_1
796943_1,Cnidocytes_1
255994_1,Immune_cells_1
333857_1,Immune_cells_1
295398_1,Cnidocytes_1
742793_1,Progenitors_1
539187_1,Neurons_1_2
767282_1,Immune_cells_1
483281_1,Neurons_2
630511_1,Progenitors_1
38185_1,Neurons_1_2
108319_1,Neurons_1_3
780763_1,Neurons_1_1
678310_1,Digestive_filaments
637658_1,Cnidocytes_2
182346_1,Neurons_2
540928_1,Cnidocytes_1
705586_1,Digestive_filaments
463968_1,Digestive_filaments
179350_1,Cnidocytes_1
180028_1,Neurons_2
792769_1,Neurons_2
232121_1,Neurons_1_2
807033_1,Immune_cells_1
825901_1,Cnidocytes_1
680365_1,Digestive_filaments
730689_1,Cnidocytes_3
75758_1,Neurons_1_2
797769_1,Immune_cells_1
404806_1,Gastrodermis_2
829816_1,Immune_cells_1
523789_1,Neurons_2
743800_1,Neurons_1_3
267520_1,Neurons_1_3
161703_1,Alga_hosting_cells_1
490447_1,Neurons_1_2
617286_1,Immune_cells_1
489043_1,Gastrodermis_2
154579_1,Immune_cells_1
307997_1,Neurons_1_3
750585_1,Muscle_cells
8214_1,Neurons_1_2
506222_1,Immune_cells_1
515185_1,Immune_cells_1
251424_1,Immune_cells_1
168159_1,Cnidocytes_3
384231_1,Cnidocytes_2
205306_1,Neurons_2
368457_1,Gastrodermis_2
780508_1,Neurons_1_3
648123_1,Immune_cells_1
207158_1,Immune_cells_1
641632_1,Cnidocytes_2
372681_1,Neurons_1_2
48205_1,Cnidocytes_2
852082_1,Immune_cells_2
354855_1,Neurons_1_2
194868_1,Immune_cells_1
111238_1,Cnidocytes_3
493434_1,Cnidocytes_3
615906_1,Gland_cells
183289_1,Neurons_2
14131_1,Cnidocytes_3
36621_1,Neurons_2
596485_1,Cnidocytes_2
335679_1,Progenitors_1
684025_1,Gastrodermis_2
78477_1,Neurons_1_3
686939_1,Immune_cells_1
259032_1,Digestive_filaments
528683_1,Cnidocytes_3
415844_1,Digestive_filaments
657866_1,Cnidocytes_3
390464_1,Cnidocytes_3
821918_1,Immune_cells_1
631854_1,Neurons_2
829007_1,Digestive_filaments
216154_1,Immune_cells_1
277880_1,Progenitors_2
9433_1,Immune_cells_1
644159_1,Cnidocytes_1
282571_1,Cnidocytes_3
589516_1,Neurons_1_2
318959_1,Immune_cells_3
177095_1,Immune_cells_1
155401_1,Immune_cells_1
707274_1,Immune_cells_1
289070_1,Cnidocytes_1
66420_1,Neurons_1_3
126986_1,Neurons_1_2
142837_1,Immune_cells_1
211097_1,Neurons_1_2
531942_1,Calicoblasts
130807_1,D.filaments_Alga_hosting_cells
49424_1,Immune_cells_1
537404_1,Gastrodermis_2
171066_1,Progenitors_2
584169_1,Neurons_2
218433_1,Neurons_2
626786_1,Neurons_1_1
407438_1,Cnidocytes_1
309643_1,Neurons_1_2
178029_1,Neurons_1_2
728182_1,Immune_cells_1
733286_1,Cnidocytes_3
368388_1,Digestive_filaments
366744_1,Cnidocytes_2
162316_1,Neurons_2
233758_1,Neurons_1_2
732299_1,Immune_cells_1
283818_1,Neurons_2
763188_1,Cnidocytes_1
426849_1,Neurons_1_2
330292_1,Digestive_filaments
288933_1,Progenitors_1
205074_1,Immune_cells_1
275235_1,Neurons_2
254596_1,Neurons_2
869631_1,Neurons_1_3
835056_1,Immune_cells_2
208385_1,Neurons_1_3
165436_1,Immune_cells_1
592416_1,Neurons_1_2
747876_1,Neurons_2
485780_1,Gastrodermis_2
349492_1,Immune_cells_1
648488_1,D.filaments_Alga_hosting_cells
862081_1,Progenitors_1
209981_1,Gastrodermis_2
508256_1,Progenitors_1
707074_1,Alga_hosting_cells_1
46921_1,Immune_cells_1
499944_1,Neurons_1_2
68845_1,Neurons_1_3
255365_1,Cnidocytes_1
159933_1,Neurons_2
811334_1,Cnidocytes_1
26811_1,Digestive_filaments
841159_1,Calicoblasts
694485_1,Immune_cells_1
681734_1,Neurons_2
109743_1,Immune_cells_1
353438_1,Cnidocytes_1
726239_1,Gastrodermis_2
534218_1,Cnidocytes_1
110253_1,Neurons_1_2
367391_1,Digestive_filaments
580960_1,Neurons_1_2
824228_1,Digestive_filaments
150632_1,Immune_cells_1
142825_1,Neurons_2
873207_1,Gastrodermis_2
637239_1,Immune_cells_1
463125_1,Immune_cells_1
576596_1,Neurons_2
288895_1,Immune_cells_1
225869_1,Immune_cells_1
269869_1,Cnidocytes_3
286046_1,Alga_hosting_cells_1
34484_1,Gastrodermis_2
65086_1,Neurons_1_2
43205_1,Progenitors_1
768244_1,Immune_cells_1
472290_1,Immune_cells_1
693080_1,Cnidocytes_2
207466_1,Gastrodermis_2
135061_1,Immune_cells_1
476022_1,Progenitors_1
215193_1,Cnidocytes_1
139114_1,Progenitors_1
787172_1,Neurons_1_3
195032_1,Immune_cells_1
252905_1,Neurons_2
495601_1,Cnidocytes_1
200345_1,Neurons_2
665164_1,Cnidocytes_2
563871_1,Immune_cells_3
822686_1,Gland_cells
429532_1,Alga_hosting_cells_2
701105_1,Cnidocytes_3
483469_1,Immune_cells_1
57402_1,Progenitors_1
203702_1,Gastrodermis_2
728586_1,Neurons_1_2
780260_1,Immune_cells_1
143814_1,Neurons_2
556091_1,Immune_cells_3
235363_1,Gastrodermis_2
410002_1,Progenitors_1
156631_1,Cnidocytes_2
453307_1,Digestive_filaments
307956_1,Gastrodermis_2
598499_1,Immune_cells_1
368444_1,Digestive_filaments
102119_1,Immune_cells_1
431145_1,Neurons_1_3
167892_1,Immune_cells_1
579743_1,Immune_cells_1
597622_1,Neurons_2
657773_1,Immune_cells_1
317213_1,Neurons_1_3
863016_1,Cnidocytes_1
474529_1,Neurons_2
277157_1,Neurons_1_2
499217_1,Neurons_2
18015_1,Immune_cells_1
666875_1,Gastrodermis_2
132487_1,Immune_cells_1
281751_1,Gastrodermis_2
346438_1,Neurons_2
344353_1,Progenitors_1
875479_1,Alga_hosting_cells_1
597548_1,Neurons_1_3
205829_1,Neurons_2
397573_1,Cnidocytes_2
678295_1,Immune_cells_2
797320_1,Muscle_cells
446708_1,Neurons_1_2
309930_1,Neurons_1_3
379434_1,Cnidocytes_1
230976_1,Neurons_2
3117_1,Cnidocytes_2
37744_1,Immune_cells_1
201224_1,Immune_cells_3
301583_1,Neurons_2
272246_1,Cnidocytes_3
699400_1,Neurons_1_3
734671_1,Immune_cells_1
482079_1,Cnidocytes_1
588548_1,Gastrodermis_2
757595_1,Neurons_1_2
110236_1,Neurons_1_2
43376_1,Cnidocytes_3
586813_1,Cnidocytes_2
157186_1,Immune_cells_1
557362_1,Immune_cells_1
50129_1,Cnidocytes_3
275281_1,Cnidocytes_1
848139_1,Digestive_filaments
872484_1,Immune_cells_1
360357_1,Neurons_2
872152_1,Digestive_filaments
228531_1,Neurons_2
687513_1,Cnidocytes_3
603896_1,Cnidocytes_1
555234_1,Digestive_filaments
584965_1,Immune_cells_1
390629_1,Immune_cells_1
865967_1,Progenitors_1
532381_1,Gastrodermis_2
269880_1,Gastrodermis_2
316469_1,Neurons_2
808098_1,Neurons_2
569393_1,Muscle_cells
