Barcode,tSNE_1,tSNE_2
625752_1,-47.9575406477899,-6.0963255166557
851903_1,-18.2602619781515,-41.1361864736893
640061_1,-49.4274691983587,-5.2600310853263
735427_1,-17.5909558930948,-8.84358223715136
474647_1,-7.2957958364081,46.1000005925384
747735_1,-4.53960731120051,46.0335888403252
658581_1,-31.8663535557236,-20.5364057219269
146677_1,-20.8691780755948,-11.6293508716287
840326_1,-36.7216749970888,-6.86080961978394
67187_1,-37.8443993052415,11.9709189088763
138115_1,-9.37742389373154,-10.7730591414096
216787_1,19.3749303670623,-35.1494902306538
340770_1,-46.9080457235456,-7.11577474920163
652487_1,-16.5378908486843,-22.9437767883269
274461_1,-18.0652071893436,-14.079453970222
85666_1,-19.3593527474807,-38.9352072337242
309789_1,-15.6907966134632,-44.9721382280038
139335_1,-13.1337779926949,-44.5498051775194
840937_1,-34.2960805942939,-21.6594607576294
553556_1,-10.0247186472142,-43.7176419364249
848611_1,-33.9809242058652,-22.1575964264209
758132_1,-48.6180303858004,-6.02317401631701
86070_1,-36.9705475173801,-21.1938413047408
243106_1,-31.1933633069344,-19.9905668081058
569168_1,-16.4341292522941,-22.2751706366526
808630_1,-35.4763342554848,-21.9857403031805
322466_1,-17.7499386044723,-9.04274505575322
104737_1,-6.16974866459086,-42.0133834339867
836795_1,-48.333492558799,-7.24708783095951
154612_1,-15.7716619084093,-42.189094747634
657192_1,-8.35300431709862,-43.0298669179086
205720_1,-14.5576673169932,-44.5759767200828
561292_1,0.0287892437162135,-42.3537478226413
789842_1,-33.373163299059,-20.9947657860044
286908_1,-17.7471764229754,-41.5015764926045
818861_1,-35.7886491361541,-20.2796311709077
565194_1,-47.5374828415458,-6.67796753244377
588865_1,-0.0686340569685217,-27.1673480864972
411886_1,-6.43779091458552,46.4758330942617
531588_1,-8.25612349867131,-42.7048982347293
784506_1,-5.5459331169915,46.5479078772392
748552_1,-13.1233514850103,-44.3764524590798
763640_1,-17.4879491800503,-25.124021860955
526276_1,-35.1448490246648,-23.4556276596394
1842_1,5.71591244072504,-40.7634458957739
763147_1,-19.7356311252592,-32.2242751684491
594287_1,-8.01667079847406,46.1633011259321
783134_1,-12.0131714421024,-40.7605843677541
607361_1,-16.9133454420509,-41.4749375358368
48780_1,-32.9774315559364,-21.2753725292911
738971_1,-5.2515959947474,-43.3899317125669
234673_1,-39.9172243288,11.9138848407628
848445_1,6.16497766139744,-37.362659376646
696356_1,-35.0124929109078,-19.9605543744875
72888_1,14.164757852749,-36.574505513979
189456_1,-8.61831109406167,45.6723981983512
733532_1,-32.9479558485184,-22.6198168920065
353170_1,25.7547450478602,-28.6694876838863
348048_1,-17.5932079390898,-41.9109082747045
240618_1,-19.6098919333133,-32.5855744634869
667646_1,-39.1132560981844,-1.94298153139345
664477_1,-36.8362500505266,-20.9547994700668
322060_1,-15.630984130651,-36.7780869176746
212426_1,-34.203146740559,-22.2352075087175
237130_1,4.93370307303383,-35.5860691409312
503310_1,-18.0891145227986,-40.4079774732212
361416_1,-36.2768668438881,-0.690478590220254
174018_1,-33.899713235753,-19.4869377465428
17692_1,-30.5958904115068,-22.1539476106343
181631_1,10.1947623887224,-32.7065120275554
72227_1,13.9000745282446,-36.0812436084579
620715_1,-11.531343988702,-41.9222866884167
526400_1,-39.526223729409,0.0865728350488182
28902_1,-7.72448601655527,46.0547523754018
767884_1,-17.1683786267072,-8.1251123764169
722863_1,-40.9897747070915,15.4387622600476
241300_1,25.4789103024505,-29.8328247270135
710854_1,32.8249336347374,34.4012621722462
62697_1,-17.9789546152008,-40.4477487130723
514968_1,-35.0998001723766,-23.4940968745881
337328_1,-8.99475441161867,45.9536831040974
106575_1,-48.1506051743702,-6.81881275540612
192152_1,-7.19988914076842,45.5040250353578
69041_1,-8.85494212829415,-42.8354405306383
55938_1,-33.4362802504975,-21.66031362194
659589_1,-5.91440101723458,46.8351703665684
666635_1,-48.2432312540495,-5.54875437180287
817866_1,-37.1075142492116,-20.6051870887202
492154_1,-28.0373642603341,3.85385375953753
864250_1,-16.3716175883955,-0.410295140927493
78132_1,-15.8726147618492,-42.444102777584
284749_1,-15.5381686817317,-23.1601375483888
645488_1,-12.0076444944068,-6.31928812895
26662_1,-35.5837312474589,-21.4905940288129
36793_1,-9.92526554061619,-40.3067072327098
429698_1,-18.6797716635051,-39.2450953631915
450111_1,8.82600510806991,-30.1549777123791
166655_1,17.9614282222,-35.5290774195505
